Product Name,Quantity Sold,Unit Price,Date of Sale,Region,Total Sales
Employee,68,54.38,2024-08-26,West,3697.84
Hotel,84,39.54,2025-01-07,North,3321.36
Special,73,98.97,2024-11-20,West,7224.81
Half,27,35.36,2024-12-26,North,954.72
Father,18,19.66,2024-03-24,West,353.88
College,56,50.85,2024-06-16,West,2847.6
Alone,39,43.31,2025-01-14,North,1689.09
Machine,24,13.77,2024-11-16,East,330.48
Serve,52,80.62,2024-08-04,North,4192.24
Within,41,24.91,2024-03-25,West,1021.31
Their,89,6.37,2024-09-23,South,566.93
Actually,77,91.4,2024-12-07,South,7037.8
Create,44,11.11,2024-11-05,East,488.84
Very,59,14.31,2024-10-18,North,844.29
Conference,97,55.57,2024-12-05,East,5390.29
Great,4,68.72,2024-05-29,East,274.88
Manager,87,67.03,2024-04-10,North,5831.61
Fund,81,89.07,2024-12-07,West,7214.67
Human,80,69.64,2024-07-27,North,5571.2
Scientist,29,10.54,2024-05-13,East,305.66
Front,50,23.75,2024-07-26,North,1187.5
Forget,10,22.71,2025-01-20,North,227.1
Whatever,97,33.15,2024-05-20,North,3215.55
Tend,26,26.94,2024-09-16,East,700.44
Prove,72,80.67,2024-05-11,West,5808.24
Huge,2,85.08,2024-09-20,South,170.16
Sometimes,83,70.02,2024-10-24,North,5811.66
Color,39,57.49,2024-08-09,East,2242.11
Open,4,37.34,2024-11-14,North,149.36
Board,11,67.26,2024-04-07,West,739.86
Real,9,59.03,2024-07-01,East,531.27
Successful,30,76.97,2025-01-18,West,2309.1
Than,19,43.96,2024-05-20,East,835.24
Under,49,71.24,2024-12-29,West,3490.76
Item,61,34.21,2024-03-05,West,2086.81
Book,75,74.47,2024-10-10,North,5585.25
Tend,87,22.97,2024-12-24,West,1998.39
Charge,78,34.99,2024-05-24,South,2729.22
Medical,21,18.48,2024-10-06,North,388.08
Figure,64,79.11,2024-11-17,North,5063.04
Care,5,38.56,2024-03-04,East,192.8
Newspaper,18,87.24,2024-07-21,South,1570.32
Set,36,87.87,2024-04-05,South,3163.32
Middle,93,55.27,2024-03-13,East,5140.11
Data,41,95.18,2024-12-15,South,3902.38
Trip,16,93.55,2024-04-08,North,1496.8
Rate,37,69.24,2024-05-09,North,2561.88
Threat,78,74.17,2024-08-25,West,5785.26
Too,78,49.54,2024-10-20,West,3864.12
Media,56,92.03,2024-04-04,West,5153.68
Sense,57,66.94,2024-06-07,East,3815.58
One,93,27.3,2024-07-02,East,2538.9
Song,39,56.1,2024-08-22,South,2187.9
Sense,33,39.72,2024-10-26,West,1310.76
Society,64,75.62,2024-02-27,North,4839.68
Structure,19,74.44,2024-03-26,East,1414.36
Game,73,12.64,2024-06-06,East,922.72
Mouth,34,74.14,2024-04-09,East,2520.76
Today,61,39.1,2024-03-29,East,2385.1
Direction,49,90.53,2024-12-23,West,4435.97
Tend,68,84.55,2024-04-09,East,5749.4
Guy,84,57.74,2024-10-02,East,4850.16
Away,24,68.88,2024-06-06,East,1653.12
Professor,11,16.78,2024-05-23,East,184.58
Nice,48,36.98,2024-12-28,South,1775.04
Clear,95,82.23,2024-05-18,North,7811.85
Hit,60,42.61,2024-12-22,West,2556.6
Project,72,81.7,2024-07-09,East,5882.4
Ball,66,69.88,2024-12-18,East,4612.08
Trip,95,24.38,2025-01-21,North,2316.1
Fill,5,37.75,2024-11-20,North,188.75
Which,78,92.07,2024-06-22,South,7181.46
Continue,8,36.55,2024-11-05,North,292.4
Leg,7,38.1,2024-09-04,East,266.7
Ability,45,74.41,2024-02-27,South,3348.45
Thought,26,65.1,2025-01-26,West,1692.6
Paper,61,30.5,2024-05-23,North,1860.5
Figure,22,21.33,2024-02-24,North,469.26
Option,29,66.94,2024-05-24,South,1941.26
May,5,49.71,2024-03-06,North,248.55
Outside,19,94.74,2025-01-11,East,1800.06
Mouth,42,81.86,2024-02-05,West,3438.12
Often,57,59.65,2025-01-26,East,3400.05
Ten,88,88.56,2024-10-12,West,7793.28
Base,95,12.73,2024-03-10,West,1209.35
Gun,35,33.65,2024-03-09,East,1177.75
Main,29,39.34,2024-10-08,West,1140.86
Travel,24,51.01,2024-08-15,South,1224.24
Mother,10,55.2,2024-05-05,South,552.0
Industry,31,22.87,2024-05-28,West,708.97
Among,85,92.51,2024-04-10,East,7863.35
Change,83,71.66,2025-01-05,South,5947.78
Unit,74,41.51,2024-09-24,East,3071.74
Civil,62,85.63,2025-01-16,South,5309.06
Light,2,81.37,2024-12-15,East,162.74
Culture,72,16.48,2024-04-05,West,1186.56
Fast,52,53.83,2024-04-18,West,2799.16
World,46,25.94,2024-08-28,East,1193.24
Like,73,12.71,2024-05-19,East,927.83
Short,47,69.36,2024-02-17,North,3259.92
Article,94,85.41,2024-05-03,East,8028.54
Trade,62,49.74,2024-04-01,East,3083.88
Cover,14,99.9,2024-04-02,East,1398.6
Our,74,7.2,2024-09-09,East,532.8
Pretty,54,68.26,2024-06-22,West,3686.04
Spend,73,16.97,2025-01-06,North,1238.81
Card,92,51.55,2024-03-29,North,4742.6
Well,4,28.86,2024-02-21,West,115.44
Bring,70,25.77,2025-01-05,North,1803.9
Under,78,25.65,2024-09-12,South,2000.7
Bed,97,96.15,2024-10-01,North,9326.55
Respond,98,88.65,2024-05-11,North,8687.7
Citizen,84,6.44,2024-03-07,South,540.96
Time,35,63.17,2024-10-30,East,2210.95
Check,88,6.97,2024-04-07,South,613.36
Development,51,22.93,2024-08-10,East,1169.43
Make,14,23.24,2024-05-04,North,325.36
Population,27,7.87,2024-06-07,North,212.49
It,35,31.87,2024-10-25,West,1115.45
Other,91,88.88,2024-02-12,South,8088.08
Character,73,45.91,2024-05-21,East,3351.43
Product,22,57.45,2024-05-26,South,1263.9
Fact,20,62.3,2024-11-11,South,1246.0
Note,28,42.36,2024-12-23,West,1186.08
Girl,94,88.71,2024-02-29,East,8338.74
A,21,6.04,2024-09-30,East,126.84
Fast,97,61.95,2024-07-14,South,6009.15
Natural,15,57.49,2024-12-28,East,862.35
Available,72,53.79,2024-06-20,South,3872.88
School,83,17.65,2024-07-03,South,1464.95
Form,27,31.35,2024-11-01,North,846.45
Federal,52,19.93,2024-04-04,East,1036.36
Draw,67,75.06,2024-09-23,South,5029.02
Scientist,41,67.49,2024-10-28,East,2767.09
Wind,9,59.22,2024-06-05,South,532.98
Keep,84,18.69,2024-08-17,South,1569.96
Many,35,60.84,2024-04-09,North,2129.4
Adult,47,79.1,2024-10-02,North,3717.7
Service,18,19.54,2024-12-13,East,351.72
Truth,43,80.27,2024-09-02,East,3451.61
Office,9,12.63,2024-10-16,North,113.67
Speak,18,52.76,2024-03-29,North,949.68
Leader,88,5.72,2024-07-13,South,503.36
More,23,51.83,2024-01-28,East,1192.09
Dream,96,35.48,2024-09-10,West,3406.08
Mean,19,34.11,2024-05-24,East,648.09
Successful,76,35.17,2024-11-01,East,2672.92
Organization,53,45.6,2024-10-09,North,2416.8
Entire,98,11.28,2024-08-07,South,1105.44
Before,56,44.78,2024-04-15,South,2507.68
Suffer,2,91.26,2024-03-11,South,182.52
While,67,50.98,2024-05-30,North,3415.66
Both,85,24.11,2024-06-07,South,2049.35
Budget,56,86.44,2025-01-12,East,4840.64
Test,93,48.2,2024-12-02,West,4482.6
Individual,100,96.93,2024-10-29,North,9693.0
School,97,72.86,2024-10-27,North,7067.42
People,72,31.61,2024-10-30,North,2275.92
Sit,62,10.48,2024-03-20,South,649.76
Capital,32,84.8,2024-04-21,South,2713.6
Understand,23,22.62,2024-11-24,North,520.26
Rock,58,67.3,2024-11-19,East,3903.4
Seek,31,34.56,2025-01-03,West,1071.36
Politics,20,17.7,2024-08-03,South,354.0
History,42,11.09,2024-04-19,West,465.78
Meet,80,18.91,2024-05-19,South,1512.8
Oil,60,56.95,2024-08-18,West,3417.0
Audience,22,63.57,2024-10-01,South,1398.54
Right,79,94.94,2024-10-12,West,7500.26
Method,82,76.41,2024-06-02,South,6265.62
Affect,36,63.41,2025-01-07,West,2282.76
Culture,96,24.94,2024-03-27,North,2394.24
Particularly,19,14.82,2024-02-04,East,281.58
Officer,13,7.19,2024-09-27,East,93.47
Yes,88,54.82,2024-02-23,East,4824.16
Make,31,6.91,2024-10-11,North,214.21
Walk,13,39.38,2024-09-29,East,511.94
Collection,90,90.07,2024-06-29,West,8106.3
Field,30,72.32,2024-07-29,West,2169.6
Recognize,97,27.34,2024-09-10,South,2651.98
Open,29,75.78,2024-09-08,West,2197.62
Try,58,11.21,2024-11-03,South,650.18
Or,10,91.37,2025-01-21,South,913.7
Become,11,46.1,2024-08-24,East,507.1
Various,73,21.52,2024-07-03,West,1570.96
Employee,86,61.47,2024-04-16,North,5286.42
Figure,21,5.13,2024-10-26,South,107.73
Worker,50,19.25,2024-04-16,South,962.5
Learn,52,38.49,2024-12-22,North,2001.48
Opportunity,29,15.88,2024-11-27,South,460.52
Positive,9,97.48,2024-02-04,East,877.32
Space,34,16.19,2024-08-12,East,550.46
Attention,76,35.56,2024-05-04,West,2702.56
For,32,31.54,2024-03-29,South,1009.28
Social,48,96.67,2024-02-07,North,4640.16
Special,100,92.45,2024-03-19,South,9245.0
Hear,72,29.08,2024-10-07,West,2093.76
Religious,98,10.71,2024-11-10,West,1049.58
Information,70,16.7,2024-12-06,South,1169.0
Idea,46,46.04,2024-07-11,West,2117.84
Individual,95,59.06,2025-01-26,North,5610.7
Suggest,83,66.55,2024-07-28,North,5523.65
Information,30,24.2,2024-04-10,West,726.0
Present,63,45.4,2024-09-30,West,2860.2
Design,92,46.78,2025-01-02,East,4303.76
Carry,85,6.25,2024-05-16,West,531.25
Arm,12,7.35,2024-05-27,South,88.2
Order,70,11.53,2024-10-21,West,807.1
Break,47,20.35,2024-07-29,East,956.45
Congress,97,84.31,2024-03-30,West,8178.07
Religious,21,7.17,2024-04-01,West,150.57
Effect,66,11.74,2024-05-05,South,774.84
Color,29,15.36,2024-08-02,East,445.44
Mean,36,21.81,2024-04-20,North,785.16
Catch,27,89.94,2024-11-21,East,2428.38
History,25,77.52,2025-01-22,North,1938.0
So,36,54.15,2024-03-29,South,1949.4
Family,67,77.11,2025-01-04,North,5166.37
Could,54,56.2,2024-11-16,West,3034.8
Why,48,40.87,2024-04-03,North,1961.76
Big,22,26.57,2024-10-11,North,584.54
Beat,80,57.03,2024-12-08,South,4562.4
Lot,15,19.63,2024-07-29,East,294.45
Outside,15,90.37,2024-10-13,South,1355.55
Maintain,60,70.13,2024-01-29,North,4207.8
Rather,99,53.77,2024-02-19,East,5323.23
However,50,7.53,2024-11-03,North,376.5
Explain,62,11.05,2024-09-08,East,685.1
Soon,88,63.4,2025-01-17,North,5579.2
Notice,31,70.83,2024-10-05,South,2195.73
Side,78,12.92,2024-09-02,West,1007.76
Me,59,91.25,2024-02-05,West,5383.75
Charge,52,17.89,2025-01-11,South,930.28
Fish,25,89.26,2024-05-28,South,2231.5
International,79,58.16,2024-02-10,North,4594.64
Rich,52,38.11,2024-05-20,North,1981.72
Plant,64,19.0,2024-05-22,West,1216.0
Cut,38,85.95,2024-08-22,North,3266.1
Only,90,58.56,2024-02-08,North,5270.4
Something,34,80.58,2024-12-26,West,2739.72
Political,62,25.88,2024-11-19,North,1604.56
Message,95,43.96,2024-12-15,South,4176.2
Near,98,73.0,2024-03-16,West,7154.0
Yard,62,12.86,2024-05-12,East,797.32
Country,25,93.86,2024-04-03,South,2346.5
Look,30,76.78,2024-08-28,South,2303.4
Employee,7,96.19,2024-03-31,East,673.33
Main,63,74.23,2024-10-29,East,4676.49
College,59,6.27,2024-12-26,West,369.93
News,63,59.92,2024-06-22,South,3774.96
Mean,31,96.91,2024-02-29,East,3004.21
Major,18,13.17,2024-09-03,North,237.06
Arm,37,22.78,2024-03-29,North,842.86
With,56,44.67,2024-08-14,West,2501.52
Benefit,78,33.04,2024-11-22,West,2577.12
Beautiful,92,33.7,2024-02-17,North,3100.4
Music,30,34.22,2024-03-18,North,1026.6
Speak,34,29.88,2025-01-07,South,1015.92
Exactly,16,37.91,2024-03-28,West,606.56
Represent,94,58.47,2024-05-17,South,5496.18
Family,13,7.17,2024-10-05,South,93.21
Agency,71,73.42,2024-07-15,West,5212.82
Stop,94,33.18,2025-01-13,North,3118.92
Want,8,34.34,2024-09-07,North,274.72
Fund,53,59.8,2024-04-04,West,3169.4
Present,54,92.75,2024-05-15,South,5008.5
Within,72,70.02,2024-07-09,West,5041.44
Successful,54,56.65,2024-12-30,West,3059.1
East,3,31.58,2024-03-01,North,94.74
Race,26,61.97,2024-10-02,North,1611.22
Early,21,53.3,2024-05-15,North,1119.3
Plant,92,30.94,2024-05-27,North,2846.48
Probably,14,52.84,2024-10-12,North,739.76
Imagine,34,42.88,2024-05-01,North,1457.92
Dinner,91,16.05,2024-03-28,South,1460.55
Ability,30,72.28,2024-05-31,West,2168.4
House,70,47.66,2024-04-02,East,3336.2
Because,67,86.52,2025-01-14,South,5796.84
Goal,52,31.88,2024-10-19,South,1657.76
Better,71,26.38,2024-12-08,West,1872.98
Real,84,30.19,2024-07-28,South,2535.96
Every,12,78.33,2024-02-02,South,939.96
Reflect,20,55.67,2024-08-08,East,1113.4
Avoid,71,26.23,2024-10-25,North,1862.33
Present,78,97.94,2024-12-07,North,7639.32
Area,10,29.41,2024-11-17,North,294.1
Policy,70,50.08,2024-02-16,North,3505.6
Care,88,87.43,2024-05-07,West,7693.84
Current,58,26.71,2024-09-15,North,1549.18
Member,10,94.56,2024-11-03,West,945.6
Manager,97,29.77,2024-02-12,East,2887.69
Tend,69,12.29,2024-04-08,South,848.01
Anything,64,76.97,2024-02-10,North,4926.08
Must,52,89.55,2024-08-30,South,4656.6
Reflect,22,93.23,2024-10-12,West,2051.06
Wonder,40,33.14,2024-03-29,South,1325.6
While,86,19.96,2024-09-25,West,1716.56
Education,45,50.25,2024-12-25,South,2261.25
Future,54,98.0,2024-06-04,North,5292.0
Study,98,89.84,2025-01-24,West,8804.32
Or,57,78.02,2024-10-19,West,4447.14
Whose,25,18.78,2024-09-24,South,469.5
Movie,69,10.24,2024-08-13,East,706.56
Camera,29,50.27,2024-07-31,East,1457.83
Environment,12,54.16,2024-09-28,East,649.92
Think,19,70.65,2024-02-27,North,1342.35
Cell,51,68.52,2024-06-15,East,3494.52
Form,70,31.22,2024-05-15,East,2185.4
Office,34,78.1,2024-09-27,South,2655.4
Amount,36,20.96,2024-06-25,West,754.56
Effect,88,79.45,2024-11-18,South,6991.6
Discuss,45,62.71,2025-01-11,North,2821.95
Than,85,35.76,2024-09-28,West,3039.6
No,16,29.86,2025-01-08,West,477.76
From,45,47.75,2024-08-15,East,2148.75
Food,46,75.65,2024-02-06,North,3479.9
Would,35,64.13,2024-02-19,West,2244.55
Son,2,21.37,2024-02-07,West,42.74
Treatment,12,85.25,2024-03-16,West,1023.0
Take,80,11.83,2024-04-26,East,946.4
Can,99,76.37,2024-03-16,North,7560.63
Smile,10,59.22,2024-10-23,South,592.2
Style,64,15.4,2024-03-20,West,985.6
Consumer,33,78.84,2024-10-08,North,2601.72
The,47,71.24,2024-10-06,East,3348.28
Another,23,30.12,2024-07-13,North,692.76
Establish,91,8.81,2024-08-10,North,801.71
Through,4,61.56,2024-09-21,East,246.24
Performance,97,25.73,2025-01-05,West,2495.81
Ever,2,21.1,2024-11-13,South,42.2
Region,61,71.57,2025-01-10,West,4365.77
Opportunity,2,25.19,2024-09-05,West,50.38
Outside,5,89.7,2025-01-01,North,448.5
Result,81,6.23,2024-05-29,East,504.63
List,56,60.13,2024-10-22,North,3367.28
Accept,57,30.35,2024-01-28,North,1729.95
Marriage,27,96.21,2024-04-14,East,2597.67
Order,68,18.92,2024-05-25,North,1286.56
Past,47,79.0,2024-06-13,North,3713.0
Speech,34,65.55,2024-10-02,South,2228.7
Property,12,7.91,2024-12-09,South,94.92
Line,50,39.63,2024-05-05,East,1981.5
Talk,61,16.16,2024-04-22,South,985.76
Themselves,58,48.08,2025-01-13,South,2788.64
Dinner,99,92.87,2024-04-05,North,9194.13
Debate,1,55.99,2024-09-05,North,55.99
High,85,88.33,2024-02-01,South,7508.05
Officer,94,51.4,2024-04-27,North,4831.6
Practice,19,54.33,2024-06-15,South,1032.27
Who,55,12.37,2024-11-09,West,680.35
The,12,14.19,2024-11-05,West,170.28
Relate,52,42.91,2024-07-20,North,2231.32
Investment,99,79.54,2024-08-11,North,7874.46
Month,75,75.74,2024-01-30,North,5680.5
Chair,88,50.89,2024-04-08,East,4478.32
Choice,19,72.63,2024-02-03,North,1379.97
Word,50,9.57,2024-09-04,North,478.5
Performance,83,49.57,2024-05-28,West,4114.31
Similar,66,69.22,2024-02-20,South,4568.52
Interest,54,10.31,2024-08-27,West,556.74
Within,48,35.99,2024-09-13,North,1727.52
Vote,29,42.74,2024-03-08,West,1239.46
After,13,44.04,2024-12-09,North,572.52
Civil,81,5.34,2025-01-15,North,432.54
Use,95,36.62,2024-07-07,East,3478.9
Throw,16,34.12,2024-05-21,East,545.92
Fast,58,68.29,2024-11-21,East,3960.82
I,13,54.81,2024-11-17,East,712.53
Know,77,51.62,2024-03-11,South,3974.74
However,1,96.49,2024-06-06,East,96.49
Experience,69,16.09,2024-12-11,South,1110.21
Cup,6,75.63,2024-12-04,North,453.78
Day,56,26.31,2024-07-31,East,1473.36
Suggest,16,13.41,2024-10-24,West,214.56
Not,71,13.42,2024-08-06,West,952.82
Remember,100,19.86,2024-05-11,North,1986.0
Former,39,34.28,2024-07-21,North,1336.92
Almost,75,47.81,2024-05-19,East,3585.75
Four,28,70.31,2024-10-13,North,1968.68
Miss,32,21.76,2024-07-08,West,696.32
Could,22,46.38,2024-02-22,West,1020.36
Citizen,76,68.14,2024-05-17,North,5178.64
World,46,43.87,2024-09-24,North,2018.02
Water,64,6.07,2024-11-18,East,388.48
Son,56,93.95,2024-07-04,North,5261.2
Field,14,72.44,2024-09-05,East,1014.16
Poor,58,48.22,2024-05-08,West,2796.76
Building,60,50.9,2024-10-30,South,3054.0
Detail,38,58.23,2024-08-21,South,2212.74
Will,63,5.43,2024-03-10,West,342.09
Left,35,91.69,2025-01-20,East,3209.15
Project,61,12.04,2024-10-21,North,734.44
Seat,100,10.87,2024-10-01,South,1087.0
Back,28,54.79,2024-11-07,East,1534.12
Research,47,82.69,2024-07-21,North,3886.43
Treatment,71,57.24,2024-10-31,North,4064.04
Magazine,46,5.89,2024-05-06,North,270.94
Each,44,10.7,2024-04-26,West,470.8
Cut,22,21.29,2024-04-03,South,468.38
Section,93,91.92,2024-09-02,North,8548.56
Agreement,13,42.5,2024-08-15,West,552.5
Direction,58,25.33,2024-01-30,South,1469.14
Pm,58,57.19,2024-03-25,East,3317.02
And,69,28.17,2024-05-23,East,1943.73
Development,95,75.09,2024-09-25,West,7133.55
Yourself,65,16.18,2024-05-04,North,1051.7
Consumer,31,15.91,2024-11-14,North,493.21
Outside,90,73.5,2024-10-03,North,6615.0
Provide,75,53.95,2024-02-29,East,4046.25
Official,95,83.27,2024-05-10,South,7910.65
Data,1,6.88,2024-06-28,West,6.88
Add,19,49.98,2024-12-14,East,949.62
Age,38,90.01,2024-07-17,South,3420.38
Offer,100,44.48,2024-09-28,South,4448.0
Return,48,37.93,2024-05-19,South,1820.64
She,2,19.23,2024-04-16,North,38.46
Real,19,91.17,2024-05-10,East,1732.23
Without,75,38.36,2024-04-02,East,2877.0
High,70,93.67,2024-10-23,South,6556.9
Help,60,64.75,2024-02-28,West,3885.0
Reflect,64,77.24,2024-06-14,North,4943.36
Play,66,92.32,2024-05-25,North,6093.12
Husband,35,88.78,2024-07-17,West,3107.3
Community,56,66.19,2024-03-03,South,3706.64
Include,55,47.79,2024-11-07,North,2628.45
Plan,91,86.39,2024-08-19,South,7861.49
Mission,64,73.3,2024-03-18,North,4691.2
Range,69,42.45,2024-05-04,North,2929.05
Her,38,94.28,2024-03-18,West,3582.64
Reality,63,74.37,2024-10-08,East,4685.31
Model,95,27.38,2024-04-20,West,2601.1
Condition,45,70.19,2025-01-25,South,3158.55
Sea,44,99.88,2024-05-13,North,4394.72
Marriage,59,93.91,2024-07-25,North,5540.69
News,13,80.06,2024-09-28,East,1040.78
Happen,30,10.79,2024-10-19,East,323.7
Idea,56,20.27,2024-02-28,East,1135.12
Southern,49,98.94,2024-06-08,West,4848.06
Main,62,7.51,2024-09-22,South,465.62
Whose,46,76.01,2024-05-07,West,3496.46
Adult,4,74.9,2025-01-23,East,299.6
Happen,90,6.33,2024-07-19,South,569.7
During,31,57.38,2024-11-08,North,1778.78
Word,41,88.47,2024-12-30,North,3627.27
Most,36,7.01,2024-08-20,East,252.36
Character,94,96.71,2024-12-13,East,9090.74
Capital,42,39.92,2024-04-01,South,1676.64
Sort,54,37.27,2024-12-06,South,2012.58
Onto,59,16.49,2024-05-18,South,972.91
Last,14,91.23,2024-05-05,West,1277.22
Next,66,72.03,2025-01-25,South,4753.98
Add,18,47.98,2024-12-02,South,863.64
Century,84,52.97,2024-08-08,East,4449.48
Use,87,40.21,2024-10-26,East,3498.27
Statement,22,62.25,2024-10-21,West,1369.5
Nation,28,87.67,2024-04-20,North,2454.76
Project,46,69.58,2024-12-17,North,3200.68
Strong,57,8.53,2024-06-07,East,486.21
Fall,80,20.09,2024-06-12,East,1607.2
System,28,32.28,2024-06-04,East,903.84
Position,55,72.56,2024-05-02,South,3990.8
Choice,11,23.9,2024-02-22,East,262.9
Share,61,39.18,2025-01-23,North,2389.98
Respond,30,7.4,2024-04-01,North,222.0
Trip,50,20.18,2024-08-09,East,1009.0
Recently,92,24.86,2024-08-13,West,2287.12
Situation,5,21.94,2024-08-02,East,109.7
Care,21,99.44,2024-03-06,East,2088.24
Side,93,49.36,2024-05-01,South,4590.48
Citizen,12,17.21,2024-09-08,West,206.52
Crime,37,30.96,2024-02-26,East,1145.52
Among,46,19.25,2024-07-08,East,885.5
Defense,90,51.23,2024-06-06,West,4610.7
Program,33,79.91,2024-06-09,East,2637.03
Right,67,97.94,2024-03-18,North,6561.98
Establish,19,44.06,2024-07-15,South,837.14
Point,50,48.18,2024-03-24,South,2409.0
State,27,91.63,2024-11-08,South,2474.01
Later,90,77.47,2024-03-26,North,6972.3
Image,72,34.34,2024-07-30,East,2472.48
Part,37,94.07,2024-09-14,South,3480.59
Future,100,62.58,2024-09-25,East,6258.0
Direction,90,6.23,2024-12-01,West,560.7
Child,15,7.61,2024-04-08,West,114.15
Art,78,57.53,2025-01-15,South,4487.34
Art,34,64.77,2025-01-08,West,2202.18
Great,77,78.67,2024-04-21,South,6057.59
Young,22,42.42,2024-10-29,West,933.24
Company,48,33.95,2024-12-07,West,1629.6
Total,80,51.31,2024-04-13,East,4104.8
Class,46,62.08,2024-12-26,North,2855.68
Either,63,36.62,2024-08-24,East,2307.06
Focus,67,18.64,2024-06-29,South,1248.88
Allow,64,72.0,2024-02-11,West,4608.0
Next,85,46.9,2024-12-29,North,3986.5
Authority,88,84.14,2025-01-19,West,7404.32
Letter,61,54.14,2024-08-03,West,3302.54
Change,72,8.66,2024-08-28,North,623.52
Lose,90,93.85,2024-09-05,West,8446.5
Behind,44,99.79,2024-07-02,North,4390.76
Smile,7,89.0,2024-04-11,North,623.0
Wrong,56,86.66,2024-10-30,North,4852.96
Story,77,29.53,2024-08-05,North,2273.81
Article,11,31.88,2024-02-04,West,350.68
Item,56,93.85,2024-04-28,North,5255.6
Day,88,88.38,2024-11-03,West,7777.44
Good,70,9.02,2024-07-21,West,631.4
Night,100,78.57,2024-08-23,East,7857.0
May,98,49.19,2024-02-02,East,4820.62
Second,11,38.92,2024-06-16,South,428.12
Thought,53,77.87,2024-03-05,East,4127.11
Campaign,68,95.64,2024-08-28,North,6503.52
Suddenly,44,56.93,2024-10-15,South,2504.92
Author,68,70.73,2024-06-24,West,4809.64
However,55,82.34,2024-03-27,East,4528.7
Bag,40,98.84,2024-03-06,South,3953.6
Future,63,93.48,2024-09-21,North,5889.24
Old,12,30.49,2025-01-04,North,365.88
Order,94,68.16,2024-08-01,North,6407.04
Because,50,84.05,2024-09-15,South,4202.5
Sense,26,47.46,2024-04-26,North,1233.96
Challenge,39,89.61,2024-08-02,North,3494.79
Wall,39,35.18,2024-09-19,South,1372.02
Employee,16,82.35,2024-05-28,South,1317.6
Service,99,85.4,2024-03-17,North,8454.6
Brother,94,76.47,2025-01-04,East,7188.18
Quickly,41,67.04,2024-04-23,East,2748.64
Service,33,62.13,2024-11-18,East,2050.29
Hour,10,15.55,2025-01-24,West,155.5
High,53,22.27,2024-08-24,South,1180.31
Remember,94,25.02,2024-06-11,East,2351.88
Knowledge,36,10.5,2024-09-11,North,378.0
Note,65,95.84,2024-07-01,West,6229.6
Write,19,88.15,2025-01-23,West,1674.85
Window,75,39.62,2024-05-26,West,2971.5
North,88,25.64,2024-09-13,West,2256.32
Issue,8,92.68,2024-09-25,West,741.44
Leave,25,61.59,2024-08-19,South,1539.75
Some,39,76.96,2024-07-12,West,3001.44
Trouble,11,79.9,2024-07-02,West,878.9
Certain,67,32.41,2025-01-25,East,2171.47
However,97,24.73,2024-09-19,East,2398.81
Stock,69,84.42,2024-09-06,North,5824.98
